,Label,Example Picture,Description,Prevention,Treatment
0,Apple Scab,Example Picture,"Apple scab, a fungal disease caused by Venturia inaequalis, wreaks havoc on apples and crabapples.
 The culprit survives harsh winters on fallen leaves, then releases airborne spores in spring that infect young leaves and fruit. 
These infections manifest as olive-green, velvety lesions that grow and turn black, distorting the fruit and causing premature leaf drop.
 While rarely fatal, apple scab significantly reduces fruit quality and weakens the tree.","Choose scab-resistant apple varieties when planting. 
Prune trees to improve air circulation and sunlight penetration. 
Rake and remove fallen leaves in the fall to reduce overwintering fungal spores. 
Apply fungicides as preventative sprays before bud break and during the growing season, especially during cool, wet weather.","If symptoms appear, fungicides can still be effective, but early intervention is crucial. 
Follow the instructions and timing recommendations on the specific fungicide product you choose. 
Remove and destroy severely infected fruits and leaves to prevent further spread."
1,Apple Black Rot,Example Picture,"Apple black rot, a fungal menace caused by Botryosphaeria obtusa, attacks various parts of the tree. Infected apples develop large, sunken brown patches that spread with concentric rings.
 These lesions can engulf the entire fruit, leaving behind a mummified husk.
 The fungus survives in these mummies and branch cankers, releasing spores during wet weather to infect leaves, causing 'frog-eye' spots, and initiating the cycle anew.
 While not always fatal, black rot significantly reduces fruit quality and weakens the tree.","Choose resistant varieties, prune trees for good air circulation, and remove fallen debris. 
Avoid wounding the fruits during harvest. 
Apply fungicides as preventative sprays before bud break and during the growing season.","Prune and remove infected branches during the dormant season. 
Fungicides can be applied, but timing is crucial for effectiveness. 
Dispose of infected fruits properly to prevent the spread of spores."
2,Cedar apple rust,Example Picture,"Cedar apple rust, caused by the fungus Gymnosporangium juniperi-virginianae, requires both juniper and apple trees to complete its life cycle. 
On apple trees, it manifests as yellow to orange leaf spots with orange, horn-like structures erupting underneath. 
These structures release spores that infect nearby junipers, causing the formation of round, brown galls. In spring, these galls erupt, releasing spores that re-infect apple trees, perpetuating the cycle. Though rarely fatal, the disease disfigures apples and weakens both trees.","Plant apple trees away from juniper trees (the alternate host for the fungus). 
Remove juniper trees in the vicinity of your orchard if possible. 
Apply fungicides during the early stages of leaf development.","Prune and remove infected branches during the dormant season. 
Fungicides may be applied, but timing is crucial for effectiveness. 
Dispose of infected plant parts properly to prevent the spread of spores."
3,Apple__healthy,Example Picture,"Smooth, blemish-free skin with a bright, characteristic color for the variety.
Firm and free of any signs of decay, cracks, or insect damage.
Leaves are green and healthy-looking, without any signs of discoloration or distortion.","Maintain proper watering, fertilization, and pruning practices to promote overall tree health.
Monitor for any signs of pests or diseases and take appropriate action if necessary.
Regularly inspect your trees and promptly address any potential issues to prevent them from becoming severe.",
4,Blueberry healthy,Example Picture,"Plump, round berries with a consistent, bright blue color. Covered in a light, whitish ""bloom"" that is characteristic of blueberries.Leaves are green and healthy-looking, without any signs of discoloration or distortion.","Maintain consistent moisture levels in the soil, avoiding both drought and overwatering.
Apply a balanced fertilizer specifically formulated for blueberries.
Prune lightly after harvest to remove dead or diseased branches and encourage new growth.
Monitor for common pests like blueberry maggots and implement integrated pest management strategies if necessary.",
5,Cherry_(including sour) Powdery mildew,Example Picture,"White, powdery fungal growth on the leaves, fruits, and stems.Infected leaves may become yellow and drop prematurely.Fruits may become stunted and develop a grayish cast.","Choose powdery mildew-resistant cherry varieties when planting.Prune trees to improve air circulation and sunlight penetration.Apply fungicides as preventative sprays before bud break and during the growing season, especially during periods of cool, humid weather.",
6,Cherry (including sour) healthy,Example Picture,"White, powdery fungal growth on the leaves, fruits, and stems.Infected leaves may become yellow and drop prematurely.Fruits may become stunted and develop a grayish cast.","Choose powdery mildew-resistant cherry varieties when planting.Prune trees to improve air circulation and sunlight penetration.Apply fungicides as preventative sprays before bud break and during the growing season, especially during periods of cool, humid weather.",
7,Corn_(maize)Cercospora_leaf_spot Gray leaf_spot,Example Picture,"White, powdery fungal growth on the leaves, fruits, and stems. Infected leaves may become yellow and drop prematurely.Fruits may become stunted and develop a grayish cast","Choose powdery mildew-resistant cherry varieties when planting.Prune trees to improve air circulation and sunlight penetration. Apply fungicides as preventative sprays before bud break and during the growing season, especially during periods of cool, humid weather","Remove and destroy infected plant parts to prevent further spread.Apply fungicides specifically labeled for powdery mildew on cherries, following the instructions and timing recommendations on the product label."
8,Corn(maize)Common_rust,Example Picture,"Bright, characteristic red or yellow color, depending on the variety.Firm and plump, with no signs of shriveling, cracking, or insect damage.Leaves are green and healthy-looking, without any discoloration or distortion.","Choose disease-resistant cherry varieties when planting.Provide adequate sunlight and air circulation by pruning and spacing trees appropriately.Maintain good soil drainage to prevent fungal diseases.Water deeply and consistently, avoiding water stress.",
9,Corn(maize)Northern_Leaf_Blight,Example Picture,"Small, circular to oval lesions on leaves, initially brown and later grayish-white, often with a reddish-brown border. Lesions may merge, causing leaves to turn yellow and drop prematurely.",Choose resistant corn varieties. Rotate crops with non-host plants like soybeans or wheat. Remove and destroy crop debris after harvest. Apply fungicides as preventative sprays if necessary.,"Fungicides can be applied, but timing is crucial for effectiveness. Severely infected plants should be removed and destroyed."
